BI0CE2,BI12E3,BI41E1,BI41E2,BI41E3,BI72E3,BI76E3,BI99E1,BI99E3,VC07E1,VC07E2,VC07E3,num_overtargets,total_traffic,cell_throughput,user_throughput,nextim_file,output_file,reward
8,5,4,8,6,7,10,7,2,8,3,6,2.0,98.39628000000002,12.731182832871335,4.851973686154937,Nextim_1318.txt,Nextim_1318.txt_throughput_21-22_fer.data,0.8791578259513136
8,2,4,8,6,5,9,7,2,8,3,3,2.0,98.45091000000001,12.777782097673406,4.804559140405614,Nextim_1321.txt,Nextim_1321.txt_throughput_21-22_fer.data,0.879117061903951
8,5,4,8,6,5,8,7,2,8,3,6,2.0,98.44290000000002,12.756891372653486,4.825414944347769,Nextim_897.txt,Nextim_897.txt_throughput_21-22_fer.data,0.8791153158500629
4,2,4,8,6,5,6,7,2,8,3,6,2.0,98.46389000000002,12.769453226674383,4.8121417590734925,Nextim_817.txt,Nextim_817.txt_throughput_21-22_fer.data,0.8790797492873939
4,2,4,8,6,5,10,7,2,8,3,2,2.0,98.43975,12.758361957383414,4.822846136528468,Nextim_903.txt,Nextim_903.txt_throughput_21-22_fer.data,0.8790604046955941
8,2,4,8,6,5,10,7,2,8,4,4,2.0,98.43765,12.785743984552859,4.795365855601229,Nextim_886.txt,Nextim_886.txt_throughput_21-22_fer.data,0.8790554920077045
5,2,4,8,6,5,10,7,2,8,6,6,2.0,98.35014000000002,12.762732042579902,4.817977730625692,Nextim_870.txt,Nextim_870.txt_throughput_21-22_fer.data,0.8790354886602798
8,3,4,8,6,5,10,7,2,8,6,6,2.0,98.34804000000003,12.772045415769862,4.808341552362333,Nextim_1292.txt,Nextim_1292.txt_throughput_21-22_fer.data,0.8790193484066098
6,2,4,8,6,5,6,7,2,8,3,6,2.0,98.46389,12.780287050120481,4.799638680663237,Nextim_924.txt,Nextim_924.txt_throughput_21-22_fer.data,0.8789962865391859
8,6,4,8,6,5,9,7,2,8,3,6,2.0,98.42987000000001,12.740099653156845,4.839759984697801,Nextim_1280.txt,Nextim_1280.txt_throughput_21-22_fer.data,0.8789929818927325
8,2,4,7,6,5,10,7,2,8,3,5,2.0,98.47169,12.802151967723828,4.777689820853904,Nextim_876.txt,Nextim_876.txt_throughput_21-22_fer.data,0.8789920894288866
8,2,4,7,6,8,10,7,2,8,3,6,2.0,98.39515000000002,12.713135430809599,4.866635394843457,Nextim_937.txt,Nextim_937.txt_throughput_21-22_fer.data,0.8789885412826528
5,2,4,8,6,5,6,7,2,8,3,6,2.0,98.46389000000002,12.773704389495547,4.805389795952733,Nextim_1269.txt,Nextim_1269.txt_throughput_21-22_fer.data,0.878954709272414
4,2,4,8,6,5,10,7,2,8,6,6,2.0,98.35014000000001,12.758665486916376,4.819883486935737,Nextim_932.txt,Nextim_932.txt_throughput_21-22_fer.data,0.8789274486926056
7,2,4,8,6,5,6,7,2,8,3,6,2.0,98.46179000000001,12.785846896560694,4.792269562335874,Nextim_601.txt,Nextim_601.txt_throughput_21-22_fer.data,0.8789058229448284
8,2,4,8,6,6,10,7,2,8,6,6,2.0,98.32868000000002,12.755714503518647,4.821941264624499,Nextim_829.txt,Nextim_829.txt_throughput_21-22_fer.data,0.8788827884071573
8,2,4,8,6,5,10,7,2,8,4,3,2.0,98.43765,12.775173831412967,4.802324346953469,Nextim_847.txt,Nextim_847.txt_throughput_21-22_fer.data,0.8788749089183219
8,5,4,7,6,5,10,7,2,8,3,6,2.0,98.45622999999999,12.772346793570517,4.804755867360366,Nextim_827.txt,Nextim_827.txt_throughput_21-22_fer.data,0.8788551330465442
8,2,4,8,6,6,10,7,2,8,3,2,2.0,98.41829000000001,12.756638525392436,4.820083515013198,Nextim_873.txt,Nextim_873.txt_throughput_21-22_fer.data,0.8788361020202817
8,2,4,8,3,5,9,7,2,8,3,6,2.0,98.44388000000001,12.80689634839106,4.7697110044515645,Nextim_917.txt,Nextim_917.txt_throughput_21-22_fer.data,0.8788303676421313
8,2,4,8,6,7,8,7,2,8,3,6,2.0,98.45239000000002,12.749369421057082,4.827234850372026,Nextim_1297.txt,Nextim_1297.txt_throughput_21-22_fer.data,0.8788302135714555
8,5,4,8,6,5,10,7,2,8,3,4,2.0,98.42664000000003,12.752677111208511,4.823201088580214,Nextim_854.txt,Nextim_854.txt_throughput_21-22_fer.data,0.8787939099894364
8,2,4,4,6,5,10,7,2,8,3,6,2.0,98.56519000000002,12.809589664898443,4.7649468540637425,Nextim_793.txt,Nextim_793.txt_throughput_21-22_fer.data,0.8787268259481094
8,2,4,5,6,5,10,7,3,8,3,6,2.0,98.26835,12.776898924694052,4.796124083930611,Nextim_880.txt,Nextim_880.txt_throughput_21-22_fer.data,0.8786511504312332
8,2,4,6,6,5,10,7,2,8,3,6,2.0,98.56519,12.806714380343813,4.765467479984034,Nextim_764.txt,Nextim_764.txt_throughput_21-22_fer.data,0.8786090930163923
8,2,4,8,6,5,8,7,2,7,3,6,2.0,98.49111,12.792370603189731,4.7786870692331505,Nextim_953.txt,Nextim_953.txt_throughput_21-22_fer.data,0.878552883621144
5,2,4,4,6,5,10,7,2,8,3,6,2.0,98.56729000000001,12.792073081611703,4.778803413676867,Nextim_1001.txt,Nextim_1001.txt_throughput_21-22_fer.data,0.8785438247644285
8,2,4,8,6,7,10,7,2,8,3,4,2.0,98.41482,12.744433436032576,4.826311816665574,Nextim_1322.txt,Nextim_1322.txt_throughput_21-22_fer.data,0.8785372626349075
8,4,4,8,6,5,10,7,2,8,3,4,2.0,98.43714,12.771826163145038,4.798607170786775,Nextim_1334.txt,Nextim_1334.txt_throughput_21-22_fer.data,0.8785216666965907
8,2,4,8,4,5,10,7,2,8,5,6,2.0,98.36901,12.79232835171528,4.778090687623688,Nextim_1351.txt,Nextim_1351.txt_throughput_21-22_fer.data,0.8785209519669485
8,3,4,4,6,5,10,7,2,8,3,6,2.0,98.56519000000002,12.802245231300672,4.767733154060586,Nextim_947.txt,Nextim_947.txt_throughput_21-22_fer.data,0.878498919268063
8,2,4,7,6,5,10,7,2,8,5,6,2.0,98.40563,12.78954373352907,4.780434007734918,Nextim_1358.txt,Nextim_1358.txt_throughput_21-22_fer.data,0.8784988870631996
5,2,4,6,6,5,10,7,2,8,3,6,2.0,98.56729,12.789367024896155,4.779266965994415,Nextim_943.txt,Nextim_943.txt_throughput_21-22_fer.data,0.8784316995445286
8,5,4,8,3,5,10,7,2,8,3,6,2.0,98.41961,12.772365277870408,4.795851710037704,Nextim_890.txt,Nextim_890.txt_throughput_21-22_fer.data,0.8784108493954057
8,2,5,8,6,5,10,7,2,8,3,6,2.0,98.33162000000003,12.774006308807953,4.793762772438691,Nextim_678.txt,Nextim_678.txt_throughput_21-22_fer.data,0.8783884540623323
8,5,4,8,6,5,10,7,2,8,6,6,2.0,98.33703000000003,12.732787205203461,4.8341299942540985,Nextim_855.txt,Nextim_855.txt_throughput_21-22_fer.data,0.8783458599728781
8,2,4,8,6,5,10,7,2,8,5,3,2.0,98.37604,12.759316986416119,4.8075708210870305,Nextim_1300.txt,Nextim_1300.txt_throughput_21-22_fer.data,0.8783443903751575
4,2,5,8,6,5,10,7,2,8,3,6,2.0,98.33372000000003,12.752493334033652,4.814133138751824,Nextim_463.txt,Nextim_463.txt_throughput_21-22_fer.data,0.8783313236392738
8,2,4,8,6,5,8,7,2,8,3,3,2.0,98.46044,12.760889247424348,4.805698409820189,Nextim_902.txt,Nextim_902.txt_throughput_21-22_fer.data,0.878329382862227
8,2,4,6,6,6,10,7,2,8,3,6,2.0,98.54583,12.783061797310529,4.781864536289555,Nextim_1271.txt,Nextim_1271.txt_throughput_21-22_fer.data,0.8782463166800042
6,2,5,8,6,5,10,7,2,8,3,6,2.0,98.33372000000003,12.763263677110164,4.801575705549966,Nextim_883.txt,Nextim_883.txt_throughput_21-22_fer.data,0.8782419691330065
8,3,5,8,6,5,10,7,2,8,3,6,2.0,98.33162000000002,12.767411582918452,4.797095760977546,Nextim_1355.txt,Nextim_1355.txt_throughput_21-22_fer.data,0.8782253671947999
8,2,4,8,4,5,10,7,2,7,3,6,2.0,98.46832,12.809521243490881,4.754922913608988,Nextim_887.txt,Nextim_887.txt_throughput_21-22_fer.data,0.8782222078549935
8,2,4,8,6,5,10,7,2,7,3,4,2.0,98.47481000000002,12.787549542451359,4.776743846531594,Nextim_1278.txt,Nextim_1278.txt_throughput_21-22_fer.data,0.8782146694491477
